"Tipologia";"Nº de Registo";"Nome";"Marcas";"Categoria";"Estado da Classificação";"Capacidade";"Número de Unidades de Alojamento";"Número de Unidades de Alojamento com Mobilidade Reduzida";"Localização (Endereço)";"Localização (Código Postal)";"Localização (Localidade)";"Localização (Concelho)";"Localização (Distrito)";"Contactos (Telefone)";"Contacto (Fax)";"Contacto (Email)";"Contacto (Página Internet)";"DRT/ERT";"NUT II";"NUT III";"Periodos de Encerramento";"Utilidade Turística";"Imóvel Classificado de Interesse";"Número de Restaurantes";"Salas de reunião";"Capacidade das salas de reunião";"SPA";"Piscinas Exteriores";"Piscinas Interiores";"Ténis";"Ginásio";"Golfe";"Outras";"Tipo de Certificação Qualidade";"Tipo de Certificação Ambiental";"Entidade Exploradora";"Entidades Públicas Financiadoras";"Ano Abertura";"Estab.Saudável&Seguro";"Aloja Estudantes 2020/21 - Medidas Covid-19"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9134";"Moinho do Álamo";"Moinho do Álamo";;"Classificado em auditoria";"8";"4";"0";"Moinho do Álamo, CP 1222, São Gens";"7050-351";"Montemor-o-Novo";"Montemor-o-Novo";"Évora";"913202921";;"moinhodoalamo@hotmail.com";"www.moinhodoalamo.com/";"Turismo do Alentejo e do Ribatejo, E.R.T.";"Alentejo";"Alentejo Central";;"Não";"---";"0";"Sim";"12";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Pedra Bruta - Gestão e Prestação de Serviços, Lda";;;"Sim";"Não"
"Parque de Campismo e/ou Caravanismo";"9133";"Parque de Campismo da Foz do Mondego";;"Sem atribuição de *";"Por reconverter";"500";"0";"0";"Rua do Cabedelo, 37 - Cabedelo";"3090-661";"Figueira da Foz";"Figueira da Foz";"Coimbra";"233402740";"218126918";"foz.mondego@fcmportugal.com";"www.fcmportugal.com/PListing.aspx";"Turismo do Centro de Portugal";"Centro";"Região de Coimbra";"2020-12-24->2020-12-25 Ano em causa:2020, 2020-12-24->2020-12-25 Ano em causa:2020, ";"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Sim";;;"FEDERA??O DE CAMPISMO E MONTANHISMO DE PORTUGAL";;"1990";"Sim";"Não"
"Estabelecimento Hoteleiro - Hotel";"9131";"The Lince Nordeste Country and Nature Hotel";"The Lince Country and Nature Hotel";"****";"Classificado em auditoria";"64";"28";"1";"Rua dos Clérigos, nº 1";"9630-160";"Nordeste";"Nordeste";"Ilha de São Miguel";"969613507";;"contabilidade@thelince-azores.com";;"Secretaria Regional da Energia, Ambiente e Turismo dos Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Não";"Nacional";"2";"Não";"0";"Sim";"Sim";"Sim";"Não";"Não";"Não";"Não";;"greenkey";"GREEN LINCE - HOTELS & RESORTS, LDA";"Outra, ";"2017";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9130";"Casa do Arrabalde";"Casa do Arrabalde";;"Classificado em auditoria";"18";"9";"0";"Rua Dr. Francisco Abreu Maia 595";"4990-097";"Ponte de Lima";"Ponte de Lima";"Viana do Castelo";"962518609";;"casadoarrabalde@gmail.com";"www.casadoarrabalde";"Turismo do Porto e Norte de Portugal";"Norte";"Alto Minho";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Sim";;;"Catarina Augusta da Rocha Pinto de Resende de Mai";;"1988";"Sim";"Não"
"Apartamento Turístico";"9127";"Furnas Lake Forest Living";"Furnas Lake Forest Living";"****";"Por reconverter";"24";"10";"0";"Estrada Regional do Sul, Furnas Lake Villas";"9675-090";"Furnas";"Povoação";"Ilha de São Miguel";"296584107";;"maria@furnaslake.com";"www.furnaslake.com";"Secretaria Regional da Energia, Ambiente e Turismo dos Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"FLV Investimentos Turísticos LDA";;"2004";"Sim";"Não"
"Estabelecimento Hoteleiro - Hotel";"9126(Em análise pelo Turismo de Portugal, I.P.)";"Les Suites at the Cliff Bay";"Les Suites at The Cliff Bay";"*****";"Classificado em projeto";"46";"23";"2";"Estrada Monumental nº 145";"9004-532";"Funchal";"Funchal";"Ilha da Madeira";"291707770";;"lessuites@portobay.pt";"https://www.portobay.com/pt/hoteis/hoteis-madeira/";"Secretaria Regional da Economia, Turismo e Cultura da Madeira";"Região Autónoma da Madeira";"Região Autónoma da Madeira";;"Não";"---";"2";"Sim";"0";"Sim";"Sim";"Sim";"Não";"Sim";"Não";"Não";;;"PENINSULA - INVESTIMENTOS TURISTICOS S A";;"2019";"Sim";"Não"
"Apartamento Turístico";"9125";"Spot Family Apartments";"Spot Family Apartments";"***";"Classificado em projeto";"46";"23";"1";"Rua do Bolhão nº 109 (1º ao 6º pisos)";"4000-112";"Porto";"Porto";"Porto";"960311846";;"spotapartments@sapo.pt";"www.spotfamilyapartments.com";"Turismo do Porto e Norte de Portugal";"Norte";"Área Metropolitana do Porto";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"ABCFV Lda";;"2018";"Sim";"Não"
"Parque de Campismo e/ou Caravanismo";"9122";"Camping Alentejo";;"Sem atribuição de *";"Classificado em auditoria";"90";"0";"0";"Monte Novo Horizonte, Estrada nacional 18  km 236 Vimieiro";"7040-600";"Vimieiro Arl";"Arraiolos";"Évora";"268959283";;"foremansiebo@sapo.pt";"www.campingalentejo.com";"Turismo do Alentejo e do Ribatejo, E.R.T.";"Alentejo";"Alentejo Central";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Camping Alentejo SCF Lda";;"2010";"Não";"Não"
"Estabelecimento Hoteleiro - Hotel";"9119";"Hotel Bocage";"Hotel Bocage";"**";"Por reconverter";"28";"24";"0";"Rua de São Cristóvão, 14";"2900-611";"Setúbal";"Setúbal";"Setúbal";"265543080";"265543089";"vitorhenriques@hoteisbocage.com";"www.hoteisbocage.com/hotelbocage";"Entidade Regional de Turismo da Região de Lisboa";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";;"Sim";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"ALVES E RODRIGUES LDA";;"1981";"Sim";"Não"
"Parque de Campismo e/ou Caravanismo";"9118(Em análise pelo Turismo de Portugal, I.P.)";"Quinta de Odelouca Lda";;"Sem atribuição de *";"Classificado em auditoria";"333";"0";"0";"Vale Grande, Monte das Pitas";"8375-215";"São Marcos da Serra";"Silves";"Faro";"282361718";;"info@quintaodelouca.com";"www.quintaodelouca.com";"Região de Turismo do Algarve";"Algarve";"Algarve";"2020-10-01->2021-01-01 Ano em causa:2020, ";"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"QUINTA ODELOUCA - TURISMO E CAMPISMO RURAL LDA";;"2012";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Hotel Rural";"9116";"Estalagem Abrigo da Montanha";"Hotel Estalagem Abrigo da Montanha";"****";"Por reconverter";"34";"16";"0";"Estrada do Foia, Corte Pereiro";"8550-257";"Monchique";"Monchique";"Faro";"918513904";"282912131";"abrigodamontanha@hotmail.com";"estalagemabrigodamontanha.pt";"Região de Turismo do Algarve";"Algarve";"Algarve";;"Não";"---";"1";"Sim";"71";"Não";"Sim";"Não";"Não";"Não";"Não";"Sim";;;"Gildo Luciano Peyre Dutrey";;"1996";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9112";"Casas Valleparaizo";"Casas Valleparaizo";;"Classificado em auditoria";"28";"9";"0";"Estrada Regional 102, nr. 161, Vale Paraiso, Camacha";"9135-060";"Camacha";"Santa Cruz";"Ilha da Madeira";"962939357";;"info@valleparaizo.com";"www.valleparaizo.com";"Secretaria Regional da Economia, Turismo e Cultura da Madeira";"Região Autónoma da Madeira";"Região Autónoma da Madeira";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"MOUNTAIN LODGES EMPREENDIMENTOS TURISTICOS LDA";;"1998";"Sim";"Não"
"Apartamento Turístico";"9108(Em análise pelo Turismo de Portugal, I.P.)";"Quinta de Santana";;"****";"Classificado em projeto";"64";"25";"1";"Canada da Meca, nº4";"9600-160";"Rabo de Peixe";"Ribeira Grande";"Ilha de São Miguel";"296491241";"296492577";"reservas@qsantana.com";"www.qsantana.com";"Secretaria Regional da Energia, Ambiente e Turismo dos Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"QUINTA DE SANTANA ANIMA??O TURISTICA LDA";"Outra, ";"1998";"Sim";"Não"
"Parque de Campismo e/ou Caravanismo";"9094";"Parque Campismo do Furadouro";"Parque Campismo do Furadouro";"***";"Por reconverter";"2000";"0";"0";"Rua das Camarinhas, S/N - Ovar";"3880-366";"Ovar";"Ovar";"Aveiro";"256596010";"256596011";"PCFURADOURO@MAIL.TELEPAC.PT";"www.clubecampismo-sjm.pt";"Turismo do Centro de Portugal";"Centro";"Região de Aveiro";;"Não";"---";"0";"Sim";"75";"Não";"Não";"Não";"Sim";"Não";"Não";"Sim";;;"CLUBE DE CAMPISMO DE S?O JO?O DA MADEIRA";;"1977";"Sim";"Não"
"Apartamento Turístico";"9090";"Apartamentos Turisticos Quinta de Santa Barbara****";"Quinta de Santa Barbara Casas Turisticas ****";"****";"Classificado em auditoria";"16";"7";"1";"Canada de Santa Barbara Nº 40";"9560-141";"Lagoa (São Miguel)";"Lagoa";"Ilha de São Miguel";"296965306";;"geral@quintasantabarbara.pt";"www.quintasantabarbara.pt";"Secretaria Regional da Energia, Ambiente e Turismo dos Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Não";"---";"1";"Não";"0";"Sim";"Sim";"Não";"Não";"Sim";"Não";"Não";;"Miosotis";"PALADARES DA QUINTA - RESTAURA??O, EVENTOS E HOTE";;"2015";"Sim";"Não"
"Parque de Campismo e/ou Caravanismo";"9087";"Parque de campismo Municipal de Arganil";;"***";"Classificado em projeto";"250";"0";"0";"Largo Professor José Dias Coimbra, Nº 70";"3300-432";"Sarzedo Agn";"Arganil";"Coimbra";"235205706";;"bruno.almeida@cm-arganil.pt";;"Turismo do Centro de Portugal";"Centro";"Região de Coimbra";"2020-11-01->2020-12-31 Ano em causa:2020, ";"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Sim";"Não";"Não";"Não";"ISO 9001";;"Município de Arganil";;;"Não";"Não"
"Parque de Campismo e/ou Caravanismo";"9084";"Azul Singular";"Azul Singular";"Sem atribuição de *";"Classificado em projeto";"28";"0";"0";"Rua da Granja nº 61";"9900-361";"Feteira Hrt";"Horta";"Ilha do Faial";"960069890";;"info@azulsingular.pt";"www.azulsingular.pt";"Secretaria Regional da Energia, Ambiente e Turismo dos Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Azul Singular - Turismo e Lazer Unipessoal Lda";"Outra, ";"2017";"Sim";"Não"
"Parque de Campismo e/ou Caravanismo";"9078";"Parque de Campismo de Esmoriz";;"***";"Por reconverter";"703";"0";"0";"Rua Clube de Campismo do Porto";"3885-529";"Esmoriz";"Ovar";"Aveiro";"935875127";;"CCPORTO@CCPORTO.PT";"CCPORTO.PT";"Turismo do Centro de Portugal";"Centro";"Região de Aveiro";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Sim";"Não";"Não";"Não";;;"CLUBE CAMPISMO PORTO";;"1967";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9077(Em análise pelo Turismo de Portugal, I.P.)";"Quinta Lobisomem";"Quinta Lobisomem";;"Classificado em auditoria";"5";"5";"0";"Vale Lobisomem, Corrego da Gondra";"8135-171";"Almancil";"Loulé";"Faro";"289803010";;"geral@ssgclegal.com";;"Região de Turismo do Algarve";"Algarve";"Algarve";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Sim";"Não";"Não";;;"Raymond Lee Millar";;"2020";"Não";"Não"
"Estabelecimento Hoteleiro - Hotel";"9074";"Lusitana Hotel";"Lusitana Hotel";"*";"Classificado em projeto";"19";"11";"1";"Rua do Rosário 241";"4050-524";"Porto";"Porto";"Porto";"222085851";;"info@lusitanahotel.com";;"Turismo do Porto e Norte de Portugal";"Norte";"Área Metropolitana do Porto";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Coração e Sonho - Hotel, LDa";;;"Sim";"Não"
"Parque de Campismo e/ou Caravanismo";"9070";"Parque de Campismo e Caravanismo Olhão";"Camping Olhão";"***";"Por reconverter";"2000";"0";"0";"Apartado 300 - Pinheiros de Marim";"8700-225";"Olhão";"Olhão";"Faro";"289700300";"289700390";"parque.campismo@sbsi.pt";;"Região de Turismo do Algarve";"Algarve";"Algarve";;"Não";"---";"2";"Não";"0";"Não";"Sim";"Não";"Sim";"Não";"Não";"Sim";;;"Sindicato dos Bancários do Sul e Ilhas";;"1985";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9065";"Casa do Pombal";;;"Classificado em projeto";"8";"4";"0";"Rua do Pombal";"9370-048";"Arco da Calheta";"Calheta";"Ilha da Madeira";"964922771";;"rosa_santos04@hotmail.com";;"Secretaria Regional da Economia, Turismo e Cultura da Madeira";"Região Autónoma da Madeira";"Região Autónoma da Madeira";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"ROSA MARIA RODRIGUES CASTANHO DOS SANTOS";;"2008";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9063";"Aldeia da Cuada";"Turismo Aldeia";;"Por reconverter";"28";"14";"0";"Aldeia da Cuada";"9960-070";"Fajã Grande";"Lajes das Flores";"Ilha das Flores";"924128635";;"INFO@ALDEIADACUADA.COM";"www.aldeiadacuada.com";"Secretaria Regional da Energia, Ambiente e Turismo dos Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;"Miosotis";"Aldeia da Cuada";;"1999";"Sim";"Não"
"Estabelecimento Hoteleiro - Hotel";"9060";"Residencial Estância";;"**";"Por reconverter";"34";"17";"1";"Estrada nacional, nº 235, Recamonde - Oliveira do Bairro";"3770-203";"Oliveira do Bairro";"Oliveira do Bairro";"Aveiro";"961201774";;"maisimovel.pt@gmail.com";;"Turismo do Centro de Portugal";"Centro";"Região de Aveiro";;"Não";"---";"0";"Sim";"30";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"RESIDENCIAL ESTANCIA LDA";;"2004";"Não";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9054";"Casa Moinho da Porta";;;"Classificado em auditoria";"6";"3";"0";"Rua Moinho da Porta";"4830-766";"Taíde";"Póvoa de Lanhoso";"Braga";"935768421";;"carolinafb.vieira@gmail.com";;"Turismo do Porto e Norte de Portugal";"Norte";"Ave";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"ANTONIO MANUEL DE CARVALHO BAPTISTA VIEIRA";;"2008";"Sim";"Não"
"Empreendimento de Turismo de Habitação";"9052";"Casa do Colégio Velho";"Casa do Colégio Velho";;"Classificado em auditoria";"16";"8";"0";"Rua Dr Couto Jardim n.º 34";"7160-263";"Vila Viçosa";"Vila Viçosa";"Évora";"268889430";;"info@casadocolegiovelho.com";;"Turismo do Alentejo e do Ribatejo, E.R.T.";"Alentejo";"Alentejo Central";;"Não";"---";"0";"Sim";"15";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"SOCIEDADE DE TURISMO MARTINS PORTAS LDA";;"2011";"Sim";"Não"
"Apartamento Turístico";"9047(Em análise pelo Turismo de Portugal, I.P.)";"Sul Villas & Spa";"Sul Infinito Resort Lda";"****";"Classificado em auditoria";"24";"12";"1";"Rua Dr Filomeno da Camara, 42";"9560-017";"Lagoa (São Miguel)";"Lagoa";"Ilha de São Miguel";"296247630";;"sul@sulvillasazores.com";"www.sulvillasazores.com";"Secretaria Regional da Energia, Ambiente e Turismo dos Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Não";"---";"1";"Não";"0";"Sim";"Sim";"Não";"Não";"Não";"Não";"Não";;;"SUL INFINITO RESORT LDA";;"2019";"Sim";"Não"
"Estabelecimento Hoteleiro - Hotel";"9043";"Hotel Palmeiras Village";"Be Live Palmeiras Village";"****";"Classificado em projeto";"1008";"504";"14";"Urbanização Qt das Palmeiras-Zona "H" Senhora da Rocha";"8400-450";"Porches";"Lagoa";"Faro";"964373705";;"joaobica@belivehotels.com";"www.belivehotels.com/pt/hoteis-algarve/be-live-fam";"Região de Turismo do Algarve";"Algarve";"Algarve";"2020-11-22->2021-02-12 Ano em causa:2020, ";"Não";"---";"4";"Sim";"100";"Não";"Sim";"Não";"Sim";"Sim";"Não";"Não";;;"Verão Garantido - Hotelaria e Turismo, Unipessoal, lda";;"2013";"Sim";"Não"
"Empreendimento de Turismo de Habitação";"9042(Em análise pelo Turismo de Portugal, I.P.)";"White";"White";;"Classificado em projeto";"14";"11";"1";"Rua Rocha Quebrada nº 10";"9560-420";"Lagoa (São Miguel)";"Lagoa";"Ilha de São Miguel";"918899393";;"faturacao@whiteazores.com";;"Secretaria Regional da Energia, Ambiente e Turismo dos Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Extremepage- Empreendimentos turisticos lda";;"2017";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9027";"Pico do Refúgio";"Pico do Refúgio";;"Classificado em auditoria";"14";"7";"1";"Roda do Pico 5";"9600-097";"Rabo de Peixe";"Ribeira Grande";"Ilha de São Miguel";"919960660";"296491062";"geral@picodorefugio.com";"www.picodorefugio.com";"Secretaria Regional da Energia, Ambiente e Turismo dos Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Não";"---";"0";"Sim";"10";"Não";"Sim";"Não";"Não";"Não";"Não";"Sim";;;"PICO DO REFUGIO UNIPESSOAL LDA";"Outra, ";"2008";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9024";"Casas da Cisterna";;;"Classificado em projeto";"5";"3";"0";"Ribeira do Cabo nº39";"9900-301";"Capelo";"Horta";"Ilha do Faial";"917294085";;"jvcomba@gmail.com";"www.casasdacisterna.com";"Secretaria Regional da Energia, Ambiente e Turismo dos Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Eduardina Ferreira Moitoso e Rosa";;"2010";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9020";"Casa Eduardina";"Casas do Capelo";;"Por reconverter";"4";"2";"0";"Estrada regional km 18";"9900-301";"Capelo";"Horta";"Ilha do Faial";"912803359";;"casasdocapelo@gmail.com";;"Secretaria Regional da Energia, Ambiente e Turismo dos Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";"Casas Açorianas";"Miosotis";"Eduardina Ferreira Moitoso e Rosa";"Outra, ";"2000";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9019";"Casa Tia Garcia";"Casas do Capelo";;"Por reconverter";"4";"2";"0";"Estrada Regional km18 Capelo";"9900-301";"Capelo";"Horta";"Ilha do Faial";"912803359";;"casasdocapelo@gmail.com";;"Secretaria Regional da Energia, Ambiente e Turismo dos Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";"Casas Açorianas";"Miosotis";"Eduardina Ferreira Moitoso e Rosa";"Outra, ";"2000";"Sim";"Não"
"Estabelecimento Hoteleiro - Hotel";"9016";"Hotel Arcanjo";"Hotel Arcanjo";"**";"Classificado em auditoria";"29";"15";"0";"Rua Nossa Senhora das Necessidades, 2";"9560-418";"Lagoa (São Miguel)";"Lagoa";"Ilha de São Miguel";"296960450";;"arcanjohotel@gmail.com";"www.hotelarcanjo.com";"Secretaria Regional da Energia, Ambiente e Turismo dos Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"SOCIEDADE HOTELEIRA ANDI LDA";;"2006";"Sim";"Não"
"Estabelecimento Hoteleiro - Hotel";"9011";"Hotel Teresinha -Teresa Diniz Quadros Costa";"Hotel Teresinha";"***";"Classificado em auditoria";"108";"52";"1";"Praceta Dr Machado Pires, nº 45";"9760-449";"Praia da Vitória";"Praia da Vitória";"Ilha Terceira";"295540060";;"HOTELTERESINHA@HOTMAIL.COM";;"Secretaria Regional da Energia, Ambiente e Turismo dos Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Não";"---";"1";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"TERESA DINIZ QUADROS COSTA, ENI";;"2002";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"9008";"Casas da Chaminé";"Casas da Chaminé";;"Classificado em auditoria";"6";"3";"1";"Rua da Courela, n.º 16";"9630-088";"Lomba da Fazenda";"Nordeste";"Ilha de São Miguel";"966477600";;"mariomoniz.arq@gmail.com";"www.casasdachamine.com";"Secretaria Regional da Energia, Ambiente e Turismo dos Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Mário Moniz";"Outra, ";"2019";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Agro-turismo";"9007";"Casa dos Pinguéis";"Casa dos Varais";;"Por reconverter";"6";"3";"0";"Casa dos Varais, Rua dos Varais";"5100-426";"Cambres";"Lamego";"Viseu";"938459495";;"info@casadosvarais.pt";"www.casadosvarais.pt";"Turismo do Porto e Norte de Portugal";"Norte";"Douro";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"JO?O BAPTISTA DE CASTRO GIR?O DE AZEREDO LEME";;"1984";"Sim";"Não"
"Estabelecimento Hoteleiro - Hotel";"9002";"Turim Av Liberdade Hotel";"Turim Av Liberdade Hotel";"****";"Classificado em projeto";"104";"65";"1";"Avenida da Liberdade 247";"1250-143";"Lisboa";"Lisboa";"Lisboa";"213570916";;"ricardomartins@turimhoteis.com";;"Entidade Regional de Turismo da Região de Lisboa";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";;"Sim";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"IMOBIMACUS SOC ADMINISTRADORA DE IMOVEIS SA";;"2014";"Sim";"Não"
"Estabelecimento Hoteleiro - Hotel";"9001";"Albergaria Senhora do Monte";;"***";"Por reconverter";"56";"28";"0";"Calçada do Monte 39";"1170-250";"Lisboa";"Lisboa";"Lisboa";"218866002";"218877783";"senhoradomonte@hotmail.com";;"Entidade Regional de Turismo da Região de Lisboa";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"SIER - SOCIEDADE DE INDUSTRIA E EXPLORA??O DE APA";;"1969";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"8988";"Casa do Progo";"Casa do Progo";;"Classificado em auditoria";"6";"3";"0";"Rua de Progo nº 575 Calheiros- Ponte de Lima";"4990-575";"Calheiros";"Ponte de Lima";"Viana do Castelo";"258947670";;"anabelapfr@hotmail.com";"www.casadoprogo.pt";"Turismo do Porto e Norte de Portugal";"Norte";"Alto Minho";;"Não";"---";"0";"Não";"0";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"Anabela Pereira Fernandes";;;"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"8980";"Quinta do Negral";"Casa do Penedo";;"Por reconverter";"14";"7";"0";"Rua da Ponte, 701";"4850-451";"Ventosa Vrm";"Vieira do Minho";"Braga";"917630088";;"reservas@quintadonegral.com.pt";;"Turismo do Porto e Norte de Portugal";"Norte";"Ave";;"Não";"---";"0";"Sim";"25";"Não";"Sim";"Não";"Não";"Não";"Não";"Não";;;"NEGRALTUR - Actividades Turi­sticas, Lda";;"2003";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"8979";"Quinta do Negral";"Casa da Adega";;"Por reconverter";"6";"3";"0";"Rua da Ponte, 701";"4850-451";"Ventosa Vrm";"Vieira do Minho";"Braga";"917630088";;"reservas@quintadonegral.com.pt";;"Turismo do Porto e Norte de Portugal";"Norte";"Ave";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"NEGRALTUR - Actividades Turi­sticas, Lda";;"2002";"Sim";"Não"
"Estabelecimento Hoteleiro - Hotel";"8976";"Grande Pensão Residencial Alcobia";"Pensão Alcobia";"*";"Por reconverter";"72";"42";"1";"Poço do Borratém Nº 15";"1100-408";"Lisboa";"Lisboa";"Lisboa";"218844150";"218864201";"geralalcobia@sapo.pt";"www.grandepensaoresidencialalcobia.com";"Entidade Regional de Turismo da Região de Lisboa";"Área Metropolitana de Lisboa";"Área Metropolitana de Lisboa";;"Não";"---";"1";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Alcotel-Actividades Hoteleiras,Lda";;"2019";"Sim";"Não"
"Apartamento Turístico";"8975";"Lava Homes";"Lava Homes";"****";"Classificado em auditoria";"26";"8";"1";"Travessa do Outeiro das Eiras";"9940-185";"Santo Amaro Srp";"São Roque do Pico";"Ilha do Pico";"292241200";;"contact@lavahomes.com";"www.lavahomes.com";"Secretaria Regional da Energia, Ambiente e Turismo dos Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Não";"---";"1";"Sim";"20";"Não";"Sim";"Não";"Não";"Não";"Não";"Sim";;;"VISIAN LDA";"Outra, ";"2019";"Sim";"Não"
"Empreendimento de Turismo no Espaço Rural - Casa de campo";"8967";"Moinho das Feteiras";"Moinho das Feteiras";;"Classificado em auditoria";"6";"3";"0";"Rua do Biscoito, 25A";"9500-552";"Ponta Delgada";"Ponta Delgada";"Ilha de São Miguel";"917001030";;"mail@moinhodasfeteiras.com";"moinhodasfeteiras.com";"Secretaria Regional da Energia, Ambiente e Turismo dos Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Moinho das Feteiras, Lda";"Outra, ";"2015";"Sim";"Não"
"Empreendimento de Turismo de Habitação";"8964";"Casa do Contador";"Casa do Contador";;"Classificado em auditoria";"10";"5";"0";"Rua do Contador, 41";"9500-050";"Ponta Delgada";"Ponta Delgada";"Ilha de São Miguel";"919900555";;"mail@casadocontador.com";"www.casadocontador.com";"Secretaria Regional da Energia, Ambiente e Turismo dos Açores";"Região Autónoma dos Açores";"Região Autónoma dos Açores";;"Não";"---";"0";"Não";"0";"Não";"Não";"Não";"Não";"Não";"Não";"Não";;;"Dinastia das Palavras, Lda";"Outra, ";"2019";"Sim";"Não"
